state,seat_name,incumbent_party,incumbent_running,candidate_party,candidate_fullname,candidate_firstname,candidate_lastname
Florida,Class III,REP,None,DEM,Alexander Vindman,Alexander,Vindman
Florida,Class III,REP,None,REP,Ashley Moody,Ashley,Moody
Ohio,Class III,REP,None,DEM,Sherrod Brown,Sherrod,Brown
Ohio,Class III,REP,None,REP,Jon Husted,Jon,Husted
Alabama,Class II,REP,None,DEM,TBD,,
Alabama,Class II,REP,None,REP,TBD,,
Alaska,Class II,REP,REP,DEM,Mary S. Peltola,Mary,Peltola
Alaska,Class II,REP,REP,REP,Dan Sullivan,Dan,Sullivan
Arkansas,Class II,REP,REP,DEM,Hallie Shoffner,Hallie,Shoffner
Arkansas,Class II,REP,REP,REP,Tom Cotton,Tom,Cotton
Colorado,Class II,DEM,DEM,DEM,John Hickenlooper,John,Hickenlooper
Colorado,Class II,DEM,DEM,REP,Mark Baisley,Mark,Baisley
Delaware,Class II,DEM,DEM,DEM,Chris Coons,Chris,Coons
Delaware,Class II,DEM,DEM,REP,TBD,,
Georgia,Class II,DEM,DEM,DEM,Jon Ossoff,Jon,Ossoff
Georgia,Class II,DEM,DEM,REP,Mike Collins,Mike,Collins
Idaho,Class II,REP,REP,DEM,David Roth,David,Roth
Idaho,Class II,REP,REP,REP,James E. Risch,Jim,Risch
Illinois,Class II,DEM,None,DEM,Juliana Stratton,Juliana,Stratton
Illinois,Class II,DEM,None,REP,Don Tracy,Don,Tracy
Iowa,Class II,REP,None,DEM,Zach Wahls,Zach,Wahls
Iowa,Class II,REP,None,REP,Ashley Hinson,Ashley,Hinson
Kansas,Class II,REP,REP,DEM,TBD,,
Kansas,Class II,REP,REP,REP,Roger Marshall,Roger,Marshall
Kentucky,Class II,REP,None,DEM,Charles Booker,Charles,Booker
Kentucky,Class II,REP,None,REP,Andy Barr,Andy,Barr
Louisiana,Class II,REP,None,DEM,TBD,,
Louisiana,Class II,REP,None,REP,TBD,,
Maine,Class II,REP,REP,DEM,Graham Platner,Graham,Platner
Maine,Class II,REP,REP,REP,Susan M. Collins,Susan,Collins
Massachusetts,Class II,DEM,DEM,DEM,Edward J. Markey,Ed,Markey
Massachusetts,Class II,DEM,DEM,REP,John Deaton,John,Deaton
Michigan,Class II,DEM,None,DEM,Mallory McMorrow,Mallory,McMorrow
Michigan,Class II,DEM,None,REP,Mike Rogers,Mike,Rogers
Minnesota,Class II,DEM,None,DEM,Peggy Flanagan,Peggy,Flanagan
Minnesota,Class II,DEM,None,REP,Michele Tafoya,Michele,Tafoya
Mississippi,Class II,REP,REP,DEM,Scott Colom,Scott,Colom
Mississippi,Class II,REP,REP,REP,Cindy Hyde-Smith,Cindy,Hyde-Smith
Montana,Class II,REP,None,DEM,Reilly Neill,Reilly,Neill
Montana,Class II,REP,None,REP,Kurt Alme,Kurt,Alme
Nebraska,Class II,REP,REP,DEM,None,,
Nebraska,Class II,REP,REP,REP,Pete Ricketts,Pete,Ricketts
Nebraska,Class II,REP,REP,IND,Dan Osborn,Dan,Osborn
New Hampshire,Class II,DEM,None,DEM,Chris Pappas,Chris,Pappas
New Hampshire,Class II,DEM,None,REP,John E. Sununu,John,Sununu
New Jersey,Class II,DEM,DEM,DEM,Cory Booker,Cory,Booker
New Jersey,Class II,DEM,DEM,REP,TBD,,
New Mexico,Class II,DEM,DEM,DEM,Ben Ray Luján,Ben Ray,Luján
New Mexico,Class II,DEM,DEM,REP,None,,
North Carolina,Class II,REP,None,DEM,Roy A. Cooper,Roy,Cooper
North Carolina,Class II,REP,None,REP,Michael Whatley,Michael,Whatley
Oklahoma,Class II,REP,None,DEM,TBD,,
Oklahoma,Class II,REP,None,REP,Kevin Hern,Kevin,Hern
Oregon,Class II,DEM,DEM,DEM,Jeff Merkley,Jeff,Merkley
Oregon,Class II,DEM,DEM,REP,TBD,,
Rhode Island,Class II,DEM,DEM,DEM,Jack Reed,Jack,Reed
Rhode Island,Class II,DEM,DEM,REP,Raymond McKay,Raymond,McKay
South Carolina,Class II,REP,REP,DEM,Annie Andrews,Annie,Andrews
South Carolina,Class II,REP,REP,REP,Lindsey Graham,Lindsey,Graham
South Dakota,Class II,REP,REP,DEM,Julian Beaudion,Julian,Beaudion
South Dakota,Class II,REP,REP,REP,Mike Rounds,Mike,Rounds
Tennessee,Class II,REP,REP,DEM,TBD,,
Tennessee,Class II,REP,REP,REP,Bill Hagerty,Bill,Hagerty
Texas,Class II,REP,REP,DEM,James Talarico,James,Talarico
Texas,Class II,REP,REP,REP,John Cornyn,John,Cornyn
Virginia,Class II,DEM,DEM,DEM,Mark R. Warner,Mark,Warner
Virginia,Class II,DEM,DEM,REP,TBD,,
West Virginia,Class II,REP,REP,DEM,TBD,,
West Virginia,Class II,REP,REP,REP,Shelley Moore Capito,Shelley,Moore Capito
Wyoming,Class II,REP,None,DEM,James Byrd,James,Byrd
Wyoming,Class II,REP,None,REP,Harriet Hageman,Harriet,Hageman
